name,address,lat,lng,id,place_id,price_level
Sojourn,"244 East 79th Street, New York",40.7733857,-73.9557049,a640410f83d3436d4ff6eda273a9469b9ac4f152,ChIJK_w8Hb9YwokRegJCc5qritU,2
Hi-Life Restaurant & Lounge,"1503 2nd Avenue, New York",40.7729546,-73.9555565,9955582f31104f9c5509b28428e6f28804b19328,ChIJN95KGr9YwokRhQm9axI9f-E,2
Our Place,"242 East 79th Street, New York",40.7734142,-73.9557886,12ce8460bc7cb15c492877979e6fa87c54486e2f,ChIJ59w0Hb9YwokRatBABWUN8cg,2
Caffe Buon Gusto,"236 East 77th Street, New York",40.772272,-73.9571298,274225e298687114b9d76132d06ec79b7708031f,ChIJBUeGmL9YwokRNAX5EhAA74o,2
Haru,"1329 3rd Avenue, New York",40.7723404,-73.9584473,7f7fbbba6fed5fd86f38e976b84e74f37709dcf1,ChIJS0UJ779YwokR7VOwpEDzb4I,2
Le Pain Quotidien,"252 East 77th Street, New York",40.7720846,-73.9564802,1d2810bc72b46888a2ca0a53fa97cbe9b4b40e4f,ChIJ9YLXN-pYwokRbB86AcXEwk4,2
Sabor A Mexico II,"233 East 77th Street, New York",40.772597,-73.957014,0ddb066151d5d56172e547839114f41612170498,ChIJR_P_or9YwokR2XB0UmWNp9Y,2
Copper Kettle Kitchen,"1471 2nd Avenue, New York",40.7718309,-73.9564352,c68870360fa0df72327591e6a67be2883361a8db,ChIJZ7G2d79YwokR5z0rkjMHkm4,2
Uva,"1486 2nd Avenue, New York",40.7721873,-73.9556224,6a33b7029d319250cc223cda1a96310f9a5b7bd3,ChIJxYXIbL9YwokR7A8e89BZgGA,2
Brother Jimmy's BBQ,"1485 2nd Avenue, New York",40.7723377,-73.9560842,73afbd04d0ae961f6a124e0843e9622b39791bcc,ChIJAb8cDb9YwokRxS0uPeiwYKw,2
The Stumble Inn,"1454 2nd Avenue, New York",40.7712193,-73.9563454,e2a57e92ba5457cbf44d8a80a044856c9483c815,ChIJZ0kHf79YwokRoyp64RkoMeQ,2
Doc Watson's,"1490 2nd Avenue, New York",40.7722897,-73.9555276,ec196ae8764c7af2689e8a55caa6c84052bba3d0,ChIJwbsdE79YwokRZEzH1mMqiwk,2
Vero,"1483 2nd Avenue, New York",40.7722787,-73.9561036,ac11465bfa246e7f2c3244c2de64f30ef351b09c,ChIJVebeDL9YwokRBvx10G6Oe6E,2
Al Forno Pizzeria,"1484 2nd Avenue, New York",40.7721319,-73.9556163,49ca5ab487b2caebc9088d624cfed6355cdef8b9,ChIJLVLJEr9YwokRdhKvu8pgu-E,2
Sable's Smoked Fish,"1489 2nd Avenue, New York",40.7724596,-73.9559939,c0cdedbdf4128947c1db961bfc726e87c0fdbb08,ChIJ77bqDb9YwokRJNMk9UvbB58,2
Hanabi,"1450 2nd Avenue, New York",40.7711007,-73.9564385,582b0c016356e9058ea6b70c3883dc041d6cabcb,ChIJRY7bf79YwokRm9Y_m9XHTY4,2
Saffron Garden,"304 East 78th Street, New York",40.7723038,-73.9552339,f21cf7592345ed6229e18caa4add9af5a3c8c58a,ChIJs-vCR79YwokRLsl9FvgU5d8,2
Wa Jeal Sichuan Chili House,"1588 2nd Avenue, New York",40.7753176,-73.9532741,989878ddd6fd3a91a87684f15d16f37af846d43a,ChIJa4KK_LtYwokRXcEb5Yrs0JQ,2
China Taste,"1570 2nd Avenue, New York",40.7749082,-73.9536074,516f5512a378b721f1b7da774cc734ab377dcba7,ChIJsXG0UrlYwokRKYwu7A1LHGk,2
Sushi.com,"1570 2nd Avenue, New York",40.7749254,-73.9536703,e81b30f19cb17f6c3e70f43b19cedd0d61a074e4,ChIJsXG0UrlYwokRD_quo4TPYJw,2
Oriental Cafe,"1580 1st Avenue #1, New York",40.773661,-73.9516574,7679196c9fecd7f2dd84d07d76f8e6e8659e1c82,ChIJq_UbEblYwokRPeYBc_BpI4k,2
Blockheads,"1563 2nd Avenue, New York",40.7748921,-73.9541787,26c298753afb489c742fa6f30b64d76af3b8bcb3,ChIJJ-XjsL5YwokRxZBYbDz4ctM,2
Johnny Foxes NYC,"1546 2nd Avenue, New York",40.7742719,-73.9540906,c6e8786f2eab2a7281a9261b6013ff917813de9d,ChIJO5f5yL5YwokRLEzOjLpcxaA,2
Amura,"1567 2nd Avenue, New York",40.7749544,-73.9540742,6f8222deecc081ac340cf9f613695fbf9658cd4d,ChIJH_a8sb5YwokRE8ixEhPKqls,2
Agora Turkish Restaurant,"1565 2nd Avenue, New York",40.7749521,-73.9541981,a7d32de4df4e6d27e931392130134c71b8b540e8,ChIJxVg0LLlYwokRT4NyZ5Dcfko,2
Maison Kayser,"1294 3rd Avenue, New York",40.7713419,-73.9597456,13f719c1e59e5b04a3855c57a1fa72738ab1aa8f,ChIJAyloAsBYwokR6fNm4U7n2UI,2
EJ's Luncheonette,"1271 3rd Avenue, Manhattan",40.7704314,-73.95978,80b5135f1593daf66d9ce9b76d770581b5abf355,ChIJm8GloepYwokRKQQXHlt9X9w,2
Eats Restaurant and Bar,"1055 Lexington Avenue, New York",40.7722247,-73.9606994,85dfbb12ea56fcb5582e684690822eef7b8cef90,ChIJOy2MSJVYwokRg0oQp_BhXKM,2
Vivolo,"140 East 74th Street, New York",40.7716846,-73.9615546,06c06ecd40c3c2d3e0d30e7171d3a165d86a0510,ChIJmx48zepYwokRPUkDGdxpfXY,2
Casimir & Co,"1022A Lexington Avenue, New York",40.7710945,-73.9619882,0065b492ebe4c52575646eca90fdf00d3eaa5db3,ChIJ8bSy2-pYwokRNDeS58HWaI8,2
William Poll,"1051 Lexington Avenue, New York",40.7721321,-73.9607351,1a75060f87e9685f14d2a8ccfe23381df7c94424,ChIJUWwXSZVYwokRoQc_-nzXc_0,2
B. Cafe,"240 East 75th Street, New York",40.770905,-73.957722,8c8d9bb969ecd46d3361ead5751104bbc8ba56f0,ChIJHcO0dsBYwokRqRmU--GRlCM,2
Zucchero e Pomodori,"1435 2nd Avenue #1, New York",40.770659,-73.957284,159ac18c0b02da04673dc43c69e541967fb87fdf,ChIJHctFesBYwokR3H9lyr3-kIU,2
