ID,County,Income_Avg,Rent_Median,Population
36005033500,Bronx,129839,1288,2323
36005033600,Bronx,50769,898,6587
36005033700,Bronx,105901,1736,2353
36005033800,Bronx,46704,1176,3876
36005034000,Bronx,45557,1127,4459
36005034200,Bronx,59326,1178,1947
36005034300,Bronx,77558,1219,1697
36005034400,Bronx,80748,1563,2288
36005034500,Bronx,85876,1329,3325
36005034800,Bronx,55512,611,7357
36005035000,Bronx,60901,1568,1691
36005035100,Bronx,92745,1416,3202
36005035600,Bronx,71076,1623,2423
36005035800,Bronx,75581,1387,8113
36005035900,Bronx,33174,987,1902
36005036000,Bronx,83931,1304,3299
36005036100,Bronx,25750,515,6453
36005036300,Bronx,33609,1001,7855
36005036400,Bronx,61146,1291,2373
36005036501,Bronx,28499,941,3713
36005036502,Bronx,32150,985,1832
36005036700,Bronx,33823,1053,2556
36005036800,Bronx,57508,1426,2364
36005036901,Bronx,26821,1000,2284
36005036902,Bronx,35563,862,2309
36005037000,Bronx,58769,1478,2487
36005037100,Bronx,34556,877,3767
36005037200,Bronx,58611,1201,2280
36005037300,Bronx,38250,1058,5096
36005037400,Bronx,32989,773,3525
36005037504,Bronx,33187,830,4041
36005037600,Bronx,60884,1374,2477
36005037800,Bronx,47240,1157,3062
36005037900,Bronx,42868,1076,5225
36005038000,Bronx,49296,1086,4362
36005038100,Bronx,36089,1130,6145
36005038200,Bronx,62925,1435,2686
36005038301,Bronx,34629,1097,4372
36005038302,Bronx,35819,978,5350
36005038500,Bronx,29323,1101,5030
36005038600,Bronx,60268,1304,7448
36005038700,Bronx,34904,1148,3023
36005038800,Bronx,63949,1142,2612
36005038900,Bronx,33300,1191,5528
36005039000,Bronx,52431,1474,3265
36005039100,Bronx,34222,1048,7201
36005039200,Bronx,42684,1181,1715
36005039300,Bronx,28398,891,7781
36005039400,Bronx,44932,1122,4702
36005039500,Bronx,38425,983,3893
36005039600,Bronx,40750,1208,3483
36005039700,Bronx,27834,769,3862
36005039800,Bronx,69132,1302,2899
36005039901,Bronx,37213,1111,5268
36005039902,Bronx,33117,1065,4786
36005040100,Bronx,46033,1252,5457
36005040302,Bronx,38528,1144,4182
36005040303,Bronx,42755,1134,4505
36005040304,Bronx,43597,1197,3932
36005040400,Bronx,46700,1233,2872
36005040501,Bronx,41447,1167,3916
36005040502,Bronx,36917,1146,5594
36005040600,Bronx,46613,1149,3377
36005040701,Bronx,37276,1145,3260
36005040702,Bronx,37698,1038,6839
36005040800,Bronx,40177,1174,4191
36005040900,Bronx,68179,997,3500
36005041100,Bronx,43848,1299,2928
36005041300,Bronx,52070,1129,7598
36005041400,Bronx,70889,1196,4834
36005041500,Bronx,43106,1187,5449
36005041800,Bronx,48264,1179,3804
36005041900,Bronx,60951,1137,6965
36005042000,Bronx,37510,1113,3397
36005042100,Bronx,47243,1111,5717
36005042200,Bronx,61659,1247,3287
36005042300,Bronx,51166,1218,4203
36005042400,Bronx,60921,1174,2891
36005042500,Bronx,46778,1194,6637
36005042600,Bronx,76286,1554,7198
36005042800,Bronx,71714,1327,2043
36005042901,Bronx,41194,1164,3777
36005042902,Bronx,40607,1159,4086
36005043000,Bronx,65633,954,3550
36005043100,Bronx,44369,1158,10419
36005043400,Bronx,49925,1171,3709
36005043500,Bronx,34533,708,55
36005043600,Bronx,64732,1139,2264
36005044200,Bronx,53387,1135,4108
36005044400,Bronx,64933,1444,3617
36005044800,Bronx,90971,1605,2184
36005044901,Bronx,87095,1244,1669
36005044902,Bronx,67373,1362,2031
36005045101,Bronx,71313,1391,1408
36005045102,Bronx,74483,1254,1847
36005045600,Bronx,83792,1354,3336
36005045800,Bronx,24303,538,5287
36005046000,Bronx,47941,825,2608
36005046201,Bronx,59316,933,28827
36005046202,Bronx,57814,985,8701
36005048400,Bronx,76276,1396,3779
36005051600,Bronx,88777,1336,4336
36047000100,Brooklyn,110737,1494,4367
36047000200,Brooklyn,47549,1286,1561
36047000301,Brooklyn,205626,1996,3944
36047000501,Brooklyn,169705,1902,4661
36047000502,Brooklyn,135045,1910,2632
36047000700,Brooklyn,213166,2800,3765
36047000900,Brooklyn,181717,2800,4163
36047001100,Brooklyn,117834,2800,701
36047001300,Brooklyn,134017,1963,2627
36047001500,Brooklyn,113731,2800,5240
36047002000,Brooklyn,65655,1366,1321
36047002100,Brooklyn,252834,2800,3798
36047002200,Brooklyn,55902,1129,4774
36047002300,Brooklyn,28709,403,4370
36047002901,Brooklyn,20900,386,3409
36047003000,Brooklyn,85933,1315,1870
36047003100,Brooklyn,85292,1454,2745
36047003300,Brooklyn,119772,2800,3008
36047003400,Brooklyn,95762,1368,3127
36047003500,Brooklyn,91766,1285,1723
36047003600,Brooklyn,89252,1360,4512
36047003700,Brooklyn,118786,2800,882
36047003800,Brooklyn,130109,1525,1673
36047003900,Brooklyn,136851,1649,2498
36047004100,Brooklyn,134195,1981,3587
36047004300,Brooklyn,144862,1702,3107
36047004400,Brooklyn,111923,1344,2382
36047004500,Brooklyn,179028,2800,3438
36047004600,Brooklyn,137575,1273,1396
36047004700,Brooklyn,126615,1443,1699
36047004900,Brooklyn,143063,1720,2410
36047005000,Brooklyn,109541,1506,2468
36047005100,Brooklyn,121926,2800,2181
36047005201,Brooklyn,70096,536,1716
36047005202,Brooklyn,87724,1511,2439
36047005300,Brooklyn,97683,1440,2506
36047005400,Brooklyn,85040,1395,3529
36047005601,Brooklyn,72767,1346,2622
36047005602,Brooklyn,90520,1252,1862
36047005800,Brooklyn,62197,1285,3424
36047005900,Brooklyn,73731,1740,1280
36047006000,Brooklyn,92101,1360,2798
36047006200,Brooklyn,64906,1403,2883
36047006300,Brooklyn,113320,2800,1943
36047006400,Brooklyn,92326,1259,3618
36047006500,Brooklyn,150357,2800,5319
36047006600,Brooklyn,88543,1279,3933
36047006700,Brooklyn,188839,2800,3616
36047006800,Brooklyn,51882,1219,5213
36047006900,Brooklyn,168048,2800,3913
36047007000,Brooklyn,57847,1113,2672
36047007100,Brooklyn,65440,535,4835
36047007200,Brooklyn,39769,1210,2284
36047007400,Brooklyn,56784,1334,5633
36047007500,Brooklyn,155519,2800,4909
36047007600,Brooklyn,48960,1209,4432
36047007700,Brooklyn,142118,1960,4352
36047007800,Brooklyn,60209,1271,5582
36047008000,Brooklyn,67214,1361,4252
36047008200,Brooklyn,56139,1230,4304
36047008400,Brooklyn,63077,1354,3905
36047008500,Brooklyn,23074,409,6654
36047008800,Brooklyn,51588,1386,3126
36047009000,Brooklyn,42297,1303,3330
36047009200,Brooklyn,51651,1251,5249
36047009400,Brooklyn,57512,1183,5972
36047009600,Brooklyn,55792,1252,6461
36047009800,Brooklyn,41728,1134,7614
36047010000,Brooklyn,40859,1079,6413
36047010100,Brooklyn,65395,1224,4120
36047010200,Brooklyn,51683,1234,5257
36047010400,Brooklyn,50050,1101,6104
36047010600,Brooklyn,45376,1146,6008
36047010800,Brooklyn,46965,1087,4661
36047011000,Brooklyn,54656,1377,2482
36047011200,Brooklyn,39604,1080,6503
36047011400,Brooklyn,59732,1068,4481
36047011600,Brooklyn,51240,1035,4523
36047011700,Brooklyn,89258,1709,2749
36047011800,Brooklyn,37602,1272,2131
36047011900,Brooklyn,111784,1503,1915
36047012000,Brooklyn,51620,1218,1311
36047012100,Brooklyn,103574,1790,1824
36047012200,Brooklyn,48538,1204,5175
36047012600,Brooklyn,57317,1255,2779
36047012700,Brooklyn,71799,661,3825
36047012801,Brooklyn,62246,1169,1992
36047012901,Brooklyn,106476,2800,2724
36047012902,Brooklyn,125155,2800,1998
36047013000,Brooklyn,70252,1237,4971
36047013100,Brooklyn,155218,1860,4107
36047013200,Brooklyn,79008,1248,2078
36047013300,Brooklyn,164384,2800,4523
36047013400,Brooklyn,90773,1270,4029
36047013500,Brooklyn,177666,2800,3735
36047013600,Brooklyn,87236,1376,3816
36047013700,Brooklyn,113643,1663,3308
36047013800,Brooklyn,79493,1431,3683
36047013900,Brooklyn,123356,1690,3470
36047014000,Brooklyn,74409,1222,1862
36047014100,Brooklyn,133248,1746,3980
36047014200,Brooklyn,63858,1312,3139
36047014300,Brooklyn,87603,1658,3755
36047014500,Brooklyn,76846,1479,4629
36047014700,Brooklyn,103985,1664,2244
36047014800,Brooklyn,96953,1425,1353
36047014900,Brooklyn,120603,1864,5723
36047015000,Brooklyn,93249,1408,1660
36047015100,Brooklyn,159321,2800,3994
36047015200,Brooklyn,95751,1418,2595
36047015300,Brooklyn,152685,1897,2909
36047015500,Brooklyn,183481,2800,3683
36047015700,Brooklyn,148760,2800,4397
36047015900,Brooklyn,157806,2800,5148
36047016000,Brooklyn,79741,1311,4415
36047016100,Brooklyn,133318,1952,3167
36047016200,Brooklyn,87829,1448,2574
36047016300,Brooklyn,108189,1642,3060
36047016400,Brooklyn,93003,2800,896
36047016500,Brooklyn,223330,2800,5638
36047016600,Brooklyn,103735,1921,2239
36047016700,Brooklyn,136805,1857,4946
36047016800,Brooklyn,102383,1278,1682
36047016900,Brooklyn,88528,1705,4620
36047017000,Brooklyn,83623,1274,3758
36047017100,Brooklyn,128787,2800,3967
36047017200,Brooklyn,118802,1205,4103
36047017400,Brooklyn,93812,1243,2064
36047017600,Brooklyn,65450,1136,2198
36047017800,Brooklyn,62234,1257,3090
36047017900,Brooklyn,84681,1170,4262
36047018000,Brooklyn,67461,1241,3253
36047018100,Brooklyn,114722,1507,3530
36047018200,Brooklyn,60251,1230,3218
36047018300,Brooklyn,119627,2800,2710
36047018400,Brooklyn,101762,1385,2213
36047018501,Brooklyn,34005,447,4496
36047018600,Brooklyn,93542,1361,2162
36047018700,Brooklyn,123357,1858,1584
36047018800,Brooklyn,72793,1401,2950
36047019000,Brooklyn,56575,1161,5310
36047019100,Brooklyn,95273,1955,2861
36047019200,Brooklyn,61091,991,3264
36047019300,Brooklyn,67670,1170,5967
36047019400,Brooklyn,52347,1124,3653
36047019500,Brooklyn,94566,1548,3998
36047019600,Brooklyn,52998,1189,5361
36047019700,Brooklyn,119685,1770,3348
36047019800,Brooklyn,76734,1274,1903
36047019900,Brooklyn,88131,1438,2875
36047020000,Brooklyn,72958,1592,2182
36047020100,Brooklyn,111602,1696,3814
36047020200,Brooklyn,96627,1299,1979
36047020300,Brooklyn,115839,2800,1624
36047020400,Brooklyn,84464,1185,1849
36047020500,Brooklyn,96308,1848,2609
36047020600,Brooklyn,101544,1299,2611
36047020700,Brooklyn,111037,1735,4402
36047020800,Brooklyn,75919,1254,3153
36047021000,Brooklyn,60048,1237,5100
36047021100,Brooklyn,72641,1292,1254
36047021200,Brooklyn,51724,1131,5130
36047021300,Brooklyn,61559,1156,4399
36047021400,Brooklyn,50553,1277,2599
36047021500,Brooklyn,90684,1263,5366
36047021600,Brooklyn,49338,1342,4210
36047021700,Brooklyn,68515,1129,3610
36047021800,Brooklyn,56117,1326,4630
36047021900,Brooklyn,64472,1204,3855
36047022000,Brooklyn,47355,1393,5000
36047022100,Brooklyn,59928,1194,4464
36047022200,Brooklyn,44493,1214,4471
36047022400,Brooklyn,49812,1402,6057
36047022600,Brooklyn,52135,1341,2423
36047022700,Brooklyn,68465,1321,3449
36047022800,Brooklyn,59249,1370,3574
36047022900,Brooklyn,75139,1387,3743
36047023000,Brooklyn,53935,1428,4213
36047023100,Brooklyn,74171,1470,3434
36047023200,Brooklyn,43043,1081,6142
36047023300,Brooklyn,59282,830,4798
36047023400,Brooklyn,46491,1312,5453
36047023500,Brooklyn,70142,1301,4306
36047023600,Brooklyn,44260,1375,5470
36047023800,Brooklyn,61311,1338,4167
36047024000,Brooklyn,45245,1263,4421
36047024100,Brooklyn,66599,1561,2480
36047024200,Brooklyn,69666,1259,2936
36047024300,Brooklyn,68335,1165,4236
36047024400,Brooklyn,55223,1139,3523
36047024500,Brooklyn,58302,1141,3885
36047024600,Brooklyn,64161,1212,3552
36047024700,Brooklyn,58028,1196,1999
36047024800,Brooklyn,59427,1182,2880
36047024900,Brooklyn,63636,1317,3853
36047025000,Brooklyn,78848,1205,1575
36047025100,Brooklyn,50062,724,3256
36047025200,Brooklyn,62481,1179,5307
36047025300,Brooklyn,62320,1226,2346
36047025400,Brooklyn,62277,1102,4076
36047025500,Brooklyn,28716,525,5302
36047025600,Brooklyn,70588,1169,3243
36047025700,Brooklyn,69303,1302,1997
36047025800,Brooklyn,56765,1223,4445
36047025901,Brooklyn,45584,1268,1574
36047025902,Brooklyn,23378,373,3591
36047026000,Brooklyn,59346,1287,3610
36047026100,Brooklyn,49359,1340,5062
36047026200,Brooklyn,78336,1142,2627
36047026300,Brooklyn,52649,1066,2096
36047026400,Brooklyn,60006,1151,4685
36047026500,Brooklyn,55985,1080,3764
36047026600,Brooklyn,71152,1229,3638
36047026700,Brooklyn,66607,1196,3397
36047026800,Brooklyn,52981,1241,3868
36047026900,Brooklyn,69259,1303,2832
36047027000,Brooklyn,54254,1051,2338
36047027100,Brooklyn,50788,1201,2663
36047027200,Brooklyn,71222,1248,3654
36047027300,Brooklyn,54605,668,2582
36047027400,Brooklyn,53856,1141,2786
36047027500,Brooklyn,75628,1264,4331
36047027600,Brooklyn,66304,1234,4616
36047027700,Brooklyn,43978,1063,4584
36047027800,Brooklyn,55680,1177,3140
36047027900,Brooklyn,70361,1016,3934
36047028000,Brooklyn,84274,1133,1672
36047028100,Brooklyn,40016,745,5087
36047028200,Brooklyn,65951,1291,3114
36047028300,Brooklyn,37026,746,3654
36047028400,Brooklyn,62187,1116,3694
36047028501,Brooklyn,98729,2800,423
36047028502,Brooklyn,28737,470,2552
36047028600,Brooklyn,60865,1107,4760
36047028700,Brooklyn,45606,639,3011
36047028800,Brooklyn,58574,1083,3041
36047028900,Brooklyn,44101,955,3344
36047029000,Brooklyn,59153,1256,4215
36047029100,Brooklyn,59265,1187,3252
36047029200,Brooklyn,52484,1122,2308
36047029300,Brooklyn,52148,753,3219
36047029400,Brooklyn,60762,1138,2399
36047029500,Brooklyn,71376,1189,3947
36047029600,Brooklyn,53841,1157,5144
36047029700,Brooklyn,69115,1455,3895
36047029800,Brooklyn,86087,1193,3834
36047029900,Brooklyn,33635,1051,2610
36047030000,Brooklyn,61107,1122,3280
36047030100,Brooklyn,57246,1165,2784
36047030200,Brooklyn,69629,1162,4445
36047030300,Brooklyn,36881,988,5189
36047030400,Brooklyn,54523,1176,3984
36047030500,Brooklyn,67187,1493,5809
36047030600,Brooklyn,66627,1095,2019
36047030700,Brooklyn,33929,551,4288
36047030800,Brooklyn,68391,1181,2146
36047030900,Brooklyn,50285,1018,2201
36047031100,Brooklyn,52368,1105,2829
36047031300,Brooklyn,51458,971,4303
36047031400,Brooklyn,53530,912,4201
36047031500,Brooklyn,59656,1091,4874
36047031701,Brooklyn,55174,1143,3128
